professional,day,hour,value,display
Stress,0,1,1,0
ATC,1,1,1,0
Attending,2,1,1,0
Res_Fellow,3,1,1,0
EMT,4,1,1,0
Massage,5,1,1,0
PA,6,1,1,0
PT,7,1,1,0
RN_NP,8,1,1,0
DPM,9,1,1,0
Med_Records,10,1,2,0
Stress,0,2,1,0
ATC,1,2,1,0
Attending,2,2,0,0
Res_Fellow,3,2,0,0
EMT,4,2,1,0
Massage,5,2,1,0
PA,6,2,1,0
PT,7,2,0,0
RN_NP,8,2,0,0
DPM,9,2,1,0
Med_Records,10,2,0,0
Stress,0,3,0,0
ATC,1,3,1,0
Attending,2,3,0,0
Res_Fellow,3,3,0,0
EMT,4,3,1,0
Massage,5,3,1,0
PA,6,3,1,0
PT,7,3,1,0
RN_NP,8,3,0,0
DPM,9,3,1,0
Med_Records,10,3,0,0
Stress,0,4,1,1
ATC,1,4,1,1
Attending,2,4,0,1
Res_Fellow,3,4,0,1
EMT,4,4,1,1
Massage,5,4,1,1
PA,6,4,1,1
PT,7,4,1,1
RN_NP,8,4,0,1
DPM,9,4,1,1
Med_Records,10,4,0,1
Stress,0,5,1,0
ATC,1,5,1,0
Attending,2,5,0,0
Res_Fellow,3,5,0,0
EMT,4,5,1,0
Massage,5,5,1,0
PA,6,5,1,0
PT,7,5,1,0
RN_NP,8,5,0,0
DPM,9,5,1,0
Med_Records,10,5,0,0
Stress,0,6,0.8,0
ATC,1,6,1,0
Attending,2,6,0,0
Res_Fellow,3,6,0,0
EMT,4,6,1,0
Massage,5,6,1,0
PA,6,6,1,0
PT,7,6,1,0
RN_NP,8,6,0,0
DPM,9,6,1,0
Med_Records,10,6,0,0
Stress,0,7,1,0
ATC,1,7,1,0
Attending,2,7,0,0
Res_Fellow,3,7,0,0
EMT,4,7,1,0
Massage,5,7,1,0
PA,6,7,1,0
PT,7,7,1,0
RN_NP,8,7,0,0
DPM,9,7,1,0
Med_Records,10,7,0,0
Stress,0,8,1,0
ATC,1,8,0,0
Attending,2,8,0,0
Res_Fellow,3,8,0,0
EMT,4,8,1,0
Massage,5,8,1,0
PA,6,8,1,0
PT,7,8,1,0
RN_NP,8,8,0,0
DPM,9,8,1,0
Med_Records,10,8,0,0
Stress,0,9,1,0
ATC,1,9,1,0
Attending,2,9,0,0
Res_Fellow,3,9,0,0
EMT,4,9,1,0
Massage,5,9,1,0
PA,6,9,1,0
PT,7,9,0,0
RN_NP,8,9,0,0
DPM,9,9,1,0
Med_Records,10,9,0,0
Stress,0,10,1,0
ATC,1,10,1,0
Attending,2,10,0,0
Res_Fellow,3,10,0,0
EMT,4,10,1,0
Massage,5,10,1,0
PA,6,10,1,0
PT,7,10,0,0
RN_NP,8,10,0,0
DPM,9,10,1,0
Med_Records,10,10,0,0
Stress,0,11,0.8,0
ATC,1,11,1,0
Attending,2,11,3,0
Res_Fellow,3,11,1,0
EMT,4,11,1,0
Massage,5,11,2.5,0
PA,6,11,1,0
PT,7,11,5,0
